Anomaly Detected : {'id': 2, 'data': [[-1.345]], 'current_time': '2023-11-16T10:59:05.038402', 'score': [-0.799]}
Anomaly Detected : {'id': 7, 'data': [[-1.887]], 'current_time': '2023-11-16T10:59:05.564021', 'score': [-0.799]}
Anomaly Detected : {'id': 10, 'data': [[-0.758]], 'current_time': '2023-11-16T10:59:05.883301', 'score': [-0.799]}
Anomaly Detected : {'id': 11, 'data': [[-1.781]], 'current_time': '2023-11-16T10:59:05.989298', 'score': [-0.799]}
Anomaly Detected : {'id': 13, 'data': [[-0.012]], 'current_time': '2023-11-16T10:59:06.207787', 'score': [-0.799]}
Anomaly Detected : {'id': 14, 'data': [[-0.298]], 'current_time': '2023-11-16T10:59:06.321339', 'score': [-0.799]}
Anomaly Detected : {'id': 19, 'data': [[0.589]], 'current_time': '2023-11-16T10:59:06.911608', 'score': [-0.799]}
Anomaly Detected : {'id': 20, 'data': [[3.158]], 'current_time': '2023-11-16T10:59:07.060425', 'score': [-0.782]}
Anomaly Detected : {'id': 23, 'data': [[-2.191]], 'current_time': '2023-11-16T10:59:07.441186', 'score': [-0.799]}
Anomaly Detected : {'id': 24, 'data': [[-2.483]], 'current_time': '2023-11-16T10:59:07.571036', 'score': [-0.799]}
Anomaly Detected : {'id': 25, 'data': [[-2.356]], 'current_time': '2023-11-16T10:59:07.723180', 'score': [-0.799]}
Anomaly Detected : {'id': 26, 'data': [[-1.394]], 'current_time': '2023-11-16T10:59:07.868958', 'score': [-0.799]}
Anomaly Detected : {'id': 27, 'data': [[3.726]], 'current_time': '2023-11-16T10:59:08.015119', 'score': [-0.782]}
Anomaly Detected : {'id': 28, 'data': [[-1.589]], 'current_time': '2023-11-16T10:59:08.167967', 'score': [-0.799]}
Anomaly Detected : {'id': 30, 'data': [[-0.033]], 'current_time': '2023-11-16T10:59:08.480918', 'score': [-0.799]}
Anomaly Detected : {'id': 31, 'data': [[-2.085]], 'current_time': '2023-11-16T10:59:08.648684', 'score': [-0.799]}
Anomaly Detected : {'id': 32, 'data': [[-2.878]], 'current_time': '2023-11-16T10:59:08.819862', 'score': [-0.799]}
Anomaly Detected : {'id': 33, 'data': [[-1.907]], 'current_time': '2023-11-16T10:59:08.996638', 'score': [-0.799]}
Anomaly Detected : {'id': 34, 'data': [[-2.417]], 'current_time': '2023-11-16T10:59:09.180369', 'score': [-0.799]}
Anomaly Detected : {'id': 35, 'data': [[-1.142]], 'current_time': '2023-11-16T10:59:09.369131', 'score': [-0.799]}
Anomaly Detected : {'id': 37, 'data': [[-1.904]], 'current_time': '2023-11-16T10:59:09.760387', 'score': [-0.799]}
Anomaly Detected : {'id': 39, 'data': [[-1.709]], 'current_time': '2023-11-16T10:59:10.162195', 'score': [-0.799]}
Anomaly Detected : {'id': 46, 'data': [[-2.063]], 'current_time': '2023-11-16T10:59:11.653923', 'score': [-0.799]}
Anomaly Detected : {'id': 48, 'data': [[-2.067]], 'current_time': '2023-11-16T10:59:12.104153', 'score': [-0.799]}
Anomaly Detected : {'id': 50, 'data': [[3.355]], 'current_time': '2023-11-16T10:59:12.596848', 'score': [-0.782]}
Anomaly Detected : {'id': 51, 'data': [[-2.03]], 'current_time': '2023-11-16T10:59:12.833447', 'score': [-0.799]}
Anomaly Detected : {'id': 54, 'data': [[-1.818]], 'current_time': '2023-11-16T10:59:13.588119', 'score': [-0.799]}
Anomaly Detected : {'id': 55, 'data': [[-2.216]], 'current_time': '2023-11-16T10:59:13.839623', 'score': [-0.799]}
Anomaly Detected : {'id': 56, 'data': [[-1.154]], 'current_time': '2023-11-16T10:59:14.096816', 'score': [-0.799]}
Anomaly Detected : {'id': 57, 'data': [[-1.688]], 'current_time': '2023-11-16T10:59:14.349715', 'score': [-0.799]}
Anomaly Detected : {'id': 58, 'data': [[-2.302]], 'current_time': '2023-11-16T10:59:14.622639', 'score': [-0.799]}
Anomaly Detected : {'id': 61, 'data': [[-2.86]], 'current_time': '2023-11-16T10:59:15.430123', 'score': [-0.799]}
Anomaly Detected : {'id': 63, 'data': [[-1.928]], 'current_time': '2023-11-16T10:59:15.980297', 'score': [-0.799]}
Anomaly Detected : {'id': 64, 'data': [[-1.912]], 'current_time': '2023-11-16T10:59:16.278277', 'score': [-0.799]}
Anomaly Detected : {'id': 65, 'data': [[-2.41]], 'current_time': '2023-11-16T10:59:16.575311', 'score': [-0.799]}
Anomaly Detected : {'id': 69, 'data': [[-2.275]], 'current_time': '2023-11-16T10:59:17.760589', 'score': [-0.799]}
Anomaly Detected : {'id': 70, 'data': [[-1.984]], 'current_time': '2023-11-16T10:59:18.072143', 'score': [-0.799]}
Anomaly Detected : {'id': 71, 'data': [[-2.076]], 'current_time': '2023-11-16T10:59:18.388081', 'score': [-0.799]}
Anomaly Detected : {'id': 73, 'data': [[-2.102]], 'current_time': '2023-11-16T10:59:19.028006', 'score': [-0.799]}
Anomaly Detected : {'id': 74, 'data': [[-2.356]], 'current_time': '2023-11-16T10:59:19.357984', 'score': [-0.799]}
Anomaly Detected : {'id': 75, 'data': [[-1.911]], 'current_time': '2023-11-16T10:59:19.695494', 'score': [-0.799]}
Anomaly Detected : {'id': 77, 'data': [[-1.933]], 'current_time': '2023-11-16T10:59:20.375228', 'score': [-0.799]}
Anomaly Detected : {'id': 80, 'data': [[-2.11]], 'current_time': '2023-11-16T10:59:21.416548', 'score': [-0.799]}
Anomaly Detected : {'id': 81, 'data': [[-1.983]], 'current_time': '2023-11-16T10:59:21.774882', 'score': [-0.799]}
Anomaly Detected : {'id': 82, 'data': [[2.903]], 'current_time': '2023-11-16T10:59:22.145440', 'score': [-0.719]}
Anomaly Detected : {'id': 83, 'data': [[-0.733]], 'current_time': '2023-11-16T10:59:22.524693', 'score': [-0.799]}
Anomaly Detected : {'id': 85, 'data': [[-1.832]], 'current_time': '2023-11-16T10:59:23.288830', 'score': [-0.799]}
Anomaly Detected : {'id': 86, 'data': [[-2.435]], 'current_time': '2023-11-16T10:59:23.676272', 'score': [-0.799]}
Anomaly Detected : {'id': 89, 'data': [[-1.829]], 'current_time': '2023-11-16T10:59:24.875778', 'score': [-0.799]}
Anomaly Detected : {'id': 90, 'data': [[-1.694]], 'current_time': '2023-11-16T10:59:25.277589', 'score': [-0.799]}
Anomaly Detected : {'id': 91, 'data': [[-2.002]], 'current_time': '2023-11-16T10:59:25.677538', 'score': [-0.799]}
Anomaly Detected : {'id': 92, 'data': [[-2.38]], 'current_time': '2023-11-16T10:59:26.089286', 'score': [-0.799]}
Anomaly Detected : {'id': 93, 'data': [[-1.543]], 'current_time': '2023-11-16T10:59:27.118368', 'score': [-0.799]}
Anomaly Detected : {'id': 96, 'data': [[0.871]], 'current_time': '2023-11-16T10:59:28.772286', 'score': [-0.799]}
Anomaly Detected : {'id': 98, 'data': [[-1.879]], 'current_time': '2023-11-16T10:59:29.742237', 'score': [-0.799]}
Anomaly Detected : {'id': 99, 'data': [[-2.378]], 'current_time': '2023-11-16T10:59:30.206217', 'score': [-0.799]}
