Anomaly Detected : {'id': 0, 'data': [[-2.058]], 'current_time': '2023-11-16T06:57:40.381488', 'score': [-0.799]}
Anomaly Detected : {'id': 2, 'data': [[-2.201]], 'current_time': '2023-11-16T06:57:40.808971', 'score': [-0.799]}
Anomaly Detected : {'id': 3, 'data': [[0.391]], 'current_time': '2023-11-16T06:57:40.932350', 'score': [-0.799]}
Anomaly Detected : {'id': 4, 'data': [[3.013]], 'current_time': '2023-11-16T06:57:41.696077', 'score': [-0.752]}
Anomaly Detected : {'id': 5, 'data': [[-2.255]], 'current_time': '2023-11-16T06:57:41.816777', 'score': [-0.799]}
Anomaly Detected : {'id': 6, 'data': [[-2.053]], 'current_time': '2023-11-16T06:57:41.931776', 'score': [-0.799]}
Anomaly Detected : {'id': 7, 'data': [[-2.509]], 'current_time': '2023-11-16T06:57:42.053201', 'score': [-0.799]}
Anomaly Detected : {'id': 9, 'data': [[-2.549]], 'current_time': '2023-11-16T06:57:42.314735', 'score': [-0.799]}
Anomaly Detected : {'id': 11, 'data': [[3.407]], 'current_time': '2023-11-16T06:57:42.588900', 'score': [-0.782]}
Anomaly Detected : {'id': 13, 'data': [[-2.227]], 'current_time': '2023-11-16T06:57:42.863788', 'score': [-0.799]}
Anomaly Detected : {'id': 14, 'data': [[-2.129]], 'current_time': '2023-11-16T06:57:43.005394', 'score': [-0.799]}
Anomaly Detected : {'id': 17, 'data': [[-0.973]], 'current_time': '2023-11-16T06:57:43.513044', 'score': [-0.799]}
Anomaly Detected : {'id': 18, 'data': [[-1.989]], 'current_time': '2023-11-16T06:57:43.791541', 'score': [-0.799]}
Anomaly Detected : {'id': 19, 'data': [[-1.3]], 'current_time': '2023-11-16T06:57:43.957356', 'score': [-0.799]}
Anomaly Detected : {'id': 20, 'data': [[-2.023]], 'current_time': '2023-11-16T06:57:44.112284', 'score': [-0.799]}
Anomaly Detected : {'id': 24, 'data': [[-2.119]], 'current_time': '2023-11-16T06:57:44.746408', 'score': [-0.799]}
Anomaly Detected : {'id': 26, 'data': [[-2.253]], 'current_time': '2023-11-16T06:57:45.031651', 'score': [-0.799]}
Anomaly Detected : {'id': 27, 'data': [[1.003]], 'current_time': '2023-11-16T06:57:45.176553', 'score': [-0.799]}
Anomaly Detected : {'id': 28, 'data': [[-2.66]], 'current_time': '2023-11-16T06:57:45.419642', 'score': [-0.799]}
Anomaly Detected : {'id': 29, 'data': [[-1.569]], 'current_time': '2023-11-16T06:57:45.759866', 'score': [-0.799]}
Anomaly Detected : {'id': 31, 'data': [[-1.561]], 'current_time': '2023-11-16T06:57:46.084664', 'score': [-0.799]}
Anomaly Detected : {'id': 34, 'data': [[-1.934]], 'current_time': '2023-11-16T06:57:46.534750', 'score': [-0.799]}
Anomaly Detected : {'id': 35, 'data': [[-2.1]], 'current_time': '2023-11-16T06:57:46.704505', 'score': [-0.799]}
Anomaly Detected : {'id': 36, 'data': [[-3.718]], 'current_time': '2023-11-16T06:57:46.908110', 'score': [-0.799]}
Anomaly Detected : {'id': 37, 'data': [[-2.255]], 'current_time': '2023-11-16T06:57:47.076566', 'score': [-0.799]}
Anomaly Detected : {'id': 38, 'data': [[-2.202]], 'current_time': '2023-11-16T06:57:47.228594', 'score': [-0.799]}
Anomaly Detected : {'id': 40, 'data': [[-0.204]], 'current_time': '2023-11-16T06:57:47.559057', 'score': [-0.799]}
Anomaly Detected : {'id': 41, 'data': [[-1.197]], 'current_time': '2023-11-16T06:57:47.783724', 'score': [-0.799]}
Anomaly Detected : {'id': 42, 'data': [[-1.749]], 'current_time': '2023-11-16T06:57:47.958848', 'score': [-0.799]}
Anomaly Detected : {'id': 43, 'data': [[-1.763]], 'current_time': '2023-11-16T06:57:48.114480', 'score': [-0.799]}
Anomaly Detected : {'id': 46, 'data': [[-1.298]], 'current_time': '2023-11-16T06:57:48.573639', 'score': [-0.799]}
Anomaly Detected : {'id': 48, 'data': [[-1.458]], 'current_time': '2023-11-16T06:57:48.950208', 'score': [-0.799]}
Anomaly Detected : {'id': 49, 'data': [[-2.97]], 'current_time': '2023-11-16T06:57:49.111950', 'score': [-0.799]}
Anomaly Detected : {'id': 50, 'data': [[-3.393]], 'current_time': '2023-11-16T06:57:49.273369', 'score': [-0.799]}
Anomaly Detected : {'id': 51, 'data': [[-1.845]], 'current_time': '2023-11-16T06:57:49.491338', 'score': [-0.799]}
Anomaly Detected : {'id': 52, 'data': [[-2.195]], 'current_time': '2023-11-16T06:57:49.681940', 'score': [-0.799]}
Anomaly Detected : {'id': 53, 'data': [[-2.471]], 'current_time': '2023-11-16T06:57:49.859817', 'score': [-0.799]}
Anomaly Detected : {'id': 56, 'data': [[3.4]], 'current_time': '2023-11-16T06:57:50.424275', 'score': [-0.782]}
Anomaly Detected : {'id': 57, 'data': [[-1.933]], 'current_time': '2023-11-16T06:57:50.646249', 'score': [-0.799]}
Anomaly Detected : {'id': 60, 'data': [[-2.203]], 'current_time': '2023-11-16T06:57:51.151426', 'score': [-0.799]}
Anomaly Detected : {'id': 62, 'data': [[-2.024]], 'current_time': '2023-11-16T06:57:51.499581', 'score': [-0.799]}
Anomaly Detected : {'id': 63, 'data': [[-2.035]], 'current_time': '2023-11-16T06:57:51.685361', 'score': [-0.799]}
Anomaly Detected : {'id': 67, 'data': [[-2.023]], 'current_time': '2023-11-16T06:57:52.444197', 'score': [-0.799]}
Anomaly Detected : {'id': 68, 'data': [[-1.761]], 'current_time': '2023-11-16T06:57:52.638872', 'score': [-0.799]}
Anomaly Detected : {'id': 69, 'data': [[-1.975]], 'current_time': '2023-11-16T06:57:52.839100', 'score': [-0.799]}
Anomaly Detected : {'id': 71, 'data': [[-2.083]], 'current_time': '2023-11-16T06:57:53.202277', 'score': [-0.799]}
Anomaly Detected : {'id': 72, 'data': [[-2.058]], 'current_time': '2023-11-16T06:57:53.573332', 'score': [-0.799]}
