Anomaly Detected : {'id': 4, 'data': [[-2.313]], 'current_time': '2023-11-16T06:53:23.630945', 'score': [-0.799]}
Anomaly Detected : {'id': 6, 'data': [[-1.852]], 'current_time': '2023-11-16T06:53:23.898699', 'score': [-0.799]}
Anomaly Detected : {'id': 10, 'data': [[-2.049]], 'current_time': '2023-11-16T06:53:24.433981', 'score': [-0.799]}
Anomaly Detected : {'id': 11, 'data': [[2.86]], 'current_time': '2023-11-16T06:53:24.568182', 'score': [-0.694]}
Anomaly Detected : {'id': 13, 'data': [[-2.095]], 'current_time': '2023-11-16T06:53:24.850928', 'score': [-0.799]}
Anomaly Detected : {'id': 16, 'data': [[-1.856]], 'current_time': '2023-11-16T06:53:25.249881', 'score': [-0.799]}
Anomaly Detected : {'id': 17, 'data': [[-3.05]], 'current_time': '2023-11-16T06:53:25.400167', 'score': [-0.799]}
Anomaly Detected : {'id': 18, 'data': [[-1.96]], 'current_time': '2023-11-16T06:53:25.558491', 'score': [-0.799]}
Anomaly Detected : {'id': 20, 'data': [[-2.375]], 'current_time': '2023-11-16T06:53:25.869473', 'score': [-0.799]}
Anomaly Detected : {'id': 21, 'data': [[-1.597]], 'current_time': '2023-11-16T06:53:26.041239', 'score': [-0.799]}
Anomaly Detected : {'id': 22, 'data': [[-2.208]], 'current_time': '2023-11-16T06:53:26.213726', 'score': [-0.799]}
Anomaly Detected : {'id': 26, 'data': [[-2.88]], 'current_time': '2023-11-16T06:53:26.873246', 'score': [-0.799]}
Anomaly Detected : {'id': 27, 'data': [[-2.061]], 'current_time': '2023-11-16T06:53:27.050317', 'score': [-0.799]}
Anomaly Detected : {'id': 31, 'data': [[-2.122]], 'current_time': '2023-11-16T06:53:27.812066', 'score': [-0.799]}
Anomaly Detected : {'id': 35, 'data': [[-2.438]], 'current_time': '2023-11-16T06:53:28.585511', 'score': [-0.799]}
Anomaly Detected : {'id': 37, 'data': [[-2.379]], 'current_time': '2023-11-16T06:53:29.004503', 'score': [-0.799]}
Anomaly Detected : {'id': 40, 'data': [[-1.983]], 'current_time': '2023-11-16T06:53:29.630373', 'score': [-0.799]}
Anomaly Detected : {'id': 41, 'data': [[-2.296]], 'current_time': '2023-11-16T06:53:29.857011', 'score': [-0.799]}
Anomaly Detected : {'id': 43, 'data': [[-3.78]], 'current_time': '2023-11-16T06:53:30.302272', 'score': [-0.799]}
Anomaly Detected : {'id': 44, 'data': [[-2.514]], 'current_time': '2023-11-16T06:53:30.537387', 'score': [-0.799]}
Anomaly Detected : {'id': 45, 'data': [[-1.988]], 'current_time': '2023-11-16T06:53:30.773181', 'score': [-0.799]}
Anomaly Detected : {'id': 46, 'data': [[-1.767]], 'current_time': '2023-11-16T06:53:31.018893', 'score': [-0.799]}
Anomaly Detected : {'id': 47, 'data': [[3.367]], 'current_time': '2023-11-16T06:53:31.268329', 'score': [-0.782]}
Anomaly Detected : {'id': 48, 'data': [[-1.81]], 'current_time': '2023-11-16T06:53:31.528066', 'score': [-0.799]}
Anomaly Detected : {'id': 51, 'data': [[-1.871]], 'current_time': '2023-11-16T06:53:32.255590', 'score': [-0.799]}
Anomaly Detected : {'id': 52, 'data': [[0.124]], 'current_time': '2023-11-16T06:53:32.528850', 'score': [-0.799]}
Anomaly Detected : {'id': 53, 'data': [[-1.924]], 'current_time': '2023-11-16T06:53:32.810428', 'score': [-0.799]}
Anomaly Detected : {'id': 54, 'data': [[-2.357]], 'current_time': '2023-11-16T06:53:33.095386', 'score': [-0.799]}
Anomaly Detected : {'id': 56, 'data': [[-2.002]], 'current_time': '2023-11-16T06:53:33.662344', 'score': [-0.799]}
Anomaly Detected : {'id': 57, 'data': [[-2.146]], 'current_time': '2023-11-16T06:53:33.956420', 'score': [-0.799]}
Anomaly Detected : {'id': 58, 'data': [[-1.577]], 'current_time': '2023-11-16T06:53:34.268174', 'score': [-0.799]}
Anomaly Detected : {'id': 59, 'data': [[-2.085]], 'current_time': '2023-11-16T06:53:34.573673', 'score': [-0.799]}
Anomaly Detected : {'id': 60, 'data': [[-1.538]], 'current_time': '2023-11-16T06:53:34.886585', 'score': [-0.799]}
Anomaly Detected : {'id': 61, 'data': [[-1.613]], 'current_time': '2023-11-16T06:53:35.201470', 'score': [-0.799]}
Anomaly Detected : {'id': 62, 'data': [[-2.79]], 'current_time': '2023-11-16T06:53:35.528174', 'score': [-0.799]}
Anomaly Detected : {'id': 65, 'data': [[-2.349]], 'current_time': '2023-11-16T06:53:36.499146', 'score': [-0.799]}
Anomaly Detected : {'id': 66, 'data': [[-1.656]], 'current_time': '2023-11-16T06:53:36.844327', 'score': [-0.799]}
Anomaly Detected : {'id': 67, 'data': [[-1.845]], 'current_time': '2023-11-16T06:53:37.205621', 'score': [-0.799]}
Anomaly Detected : {'id': 69, 'data': [[-1.33]], 'current_time': '2023-11-16T06:53:37.891864', 'score': [-0.799]}
Anomaly Detected : {'id': 74, 'data': [[-1.774]], 'current_time': '2023-11-16T06:53:39.652997', 'score': [-0.799]}
Anomaly Detected : {'id': 75, 'data': [[-2.007]], 'current_time': '2023-11-16T06:53:40.055918', 'score': [-0.799]}
Anomaly Detected : {'id': 76, 'data': [[-2.221]], 'current_time': '2023-11-16T06:53:40.471320', 'score': [-0.799]}
Anomaly Detected : {'id': 77, 'data': [[-2.072]], 'current_time': '2023-11-16T06:53:40.860417', 'score': [-0.799]}
Anomaly Detected : {'id': 78, 'data': [[-1.578]], 'current_time': '2023-11-16T06:53:41.272155', 'score': [-0.799]}
Anomaly Detected : {'id': 80, 'data': [[-1.72]], 'current_time': '2023-11-16T06:53:42.103324', 'score': [-0.799]}
Anomaly Detected : {'id': 82, 'data': [[-2.147]], 'current_time': '2023-11-16T06:53:42.930971', 'score': [-0.799]}
Anomaly Detected : {'id': 83, 'data': [[-2.0]], 'current_time': '2023-11-16T06:53:43.350610', 'score': [-0.799]}
Anomaly Detected : {'id': 85, 'data': [[-1.745]], 'current_time': '2023-11-16T06:53:44.249038', 'score': [-0.799]}
Anomaly Detected : {'id': 86, 'data': [[-2.037]], 'current_time': '2023-11-16T06:53:44.669358', 'score': [-0.799]}
Anomaly Detected : {'id': 90, 'data': [[-2.455]], 'current_time': '2023-11-16T06:53:46.353774', 'score': [-0.799]}
Anomaly Detected : {'id': 92, 'data': [[-1.909]], 'current_time': '2023-11-16T06:53:47.212655', 'score': [-0.799]}
Anomaly Detected : {'id': 93, 'data': [[-2.106]], 'current_time': '2023-11-16T06:53:47.656603', 'score': [-0.799]}
Anomaly Detected : {'id': 94, 'data': [[-2.511]], 'current_time': '2023-11-16T06:53:48.103734', 'score': [-0.799]}
