Anomaly Detected : {'id': 2, 'data': [[-2.683]], 'current_time': '2023-11-16T07:28:54.899928', 'score': [-0.799]}
Anomaly Detected : {'id': 5, 'data': [[-1.269]], 'current_time': '2023-11-16T07:28:55.958207', 'score': [-0.799]}
Anomaly Detected : {'id': 6, 'data': [[-2.064]], 'current_time': '2023-11-16T07:28:56.079925', 'score': [-0.799]}
Anomaly Detected : {'id': 9, 'data': [[3.067]], 'current_time': '2023-11-16T07:28:56.439296', 'score': [-0.782]}
Anomaly Detected : {'id': 10, 'data': [[-1.334]], 'current_time': '2023-11-16T07:28:56.559834', 'score': [-0.799]}
Anomaly Detected : {'id': 11, 'data': [[-1.836]], 'current_time': '2023-11-16T07:28:56.687092', 'score': [-0.799]}
Anomaly Detected : {'id': 12, 'data': [[-3.642]], 'current_time': '2023-11-16T07:28:56.822440', 'score': [-0.799]}
Anomaly Detected : {'id': 13, 'data': [[-1.648]], 'current_time': '2023-11-16T07:28:56.945621', 'score': [-0.799]}
Anomaly Detected : {'id': 14, 'data': [[3.5]], 'current_time': '2023-11-16T07:28:57.077404', 'score': [-0.782]}
Anomaly Detected : {'id': 15, 'data': [[-1.92]], 'current_time': '2023-11-16T07:28:57.218394', 'score': [-0.799]}
Anomaly Detected : {'id': 16, 'data': [[-0.276]], 'current_time': '2023-11-16T07:28:57.367626', 'score': [-0.799]}
Anomaly Detected : {'id': 18, 'data': [[0.606]], 'current_time': '2023-11-16T07:28:57.666218', 'score': [-0.799]}
Anomaly Detected : {'id': 19, 'data': [[-1.984]], 'current_time': '2023-11-16T07:28:57.854000', 'score': [-0.799]}
Anomaly Detected : {'id': 20, 'data': [[-1.514]], 'current_time': '2023-11-16T07:28:58.029096', 'score': [-0.799]}
Anomaly Detected : {'id': 21, 'data': [[-1.823]], 'current_time': '2023-11-16T07:28:58.207745', 'score': [-0.799]}
Anomaly Detected : {'id': 23, 'data': [[-1.761]], 'current_time': '2023-11-16T07:28:58.570668', 'score': [-0.799]}
Anomaly Detected : {'id': 25, 'data': [[-0.825]], 'current_time': '2023-11-16T07:28:58.922524', 'score': [-0.799]}
Anomaly Detected : {'id': 26, 'data': [[1.027]], 'current_time': '2023-11-16T07:28:59.106277', 'score': [-0.799]}
Anomaly Detected : {'id': 27, 'data': [[-1.703]], 'current_time': '2023-11-16T07:28:59.293982', 'score': [-0.799]}
Anomaly Detected : {'id': 28, 'data': [[-1.927]], 'current_time': '2023-11-16T07:28:59.525618', 'score': [-0.799]}
Anomaly Detected : {'id': 29, 'data': [[-1.957]], 'current_time': '2023-11-16T07:28:59.808969', 'score': [-0.799]}
Anomaly Detected : {'id': 31, 'data': [[-2.418]], 'current_time': '2023-11-16T07:29:00.219650', 'score': [-0.799]}
Anomaly Detected : {'id': 32, 'data': [[-2.067]], 'current_time': '2023-11-16T07:29:00.454917', 'score': [-0.799]}
Anomaly Detected : {'id': 33, 'data': [[-2.025]], 'current_time': '2023-11-16T07:29:00.667439', 'score': [-0.799]}
Anomaly Detected : {'id': 34, 'data': [[-1.818]], 'current_time': '2023-11-16T07:29:00.897377', 'score': [-0.799]}
Anomaly Detected : {'id': 35, 'data': [[-1.87]], 'current_time': '2023-11-16T07:29:01.157977', 'score': [-0.799]}
Anomaly Detected : {'id': 37, 'data': [[-2.546]], 'current_time': '2023-11-16T07:29:01.652876', 'score': [-0.799]}
Anomaly Detected : {'id': 39, 'data': [[-1.983]], 'current_time': '2023-11-16T07:29:02.180773', 'score': [-0.799]}
Anomaly Detected : {'id': 41, 'data': [[-2.105]], 'current_time': '2023-11-16T07:29:02.684744', 'score': [-0.799]}
Anomaly Detected : {'id': 42, 'data': [[-2.218]], 'current_time': '2023-11-16T07:29:02.993574', 'score': [-0.799]}
Anomaly Detected : {'id': 44, 'data': [[-1.027]], 'current_time': '2023-11-16T07:29:03.584066', 'score': [-0.799]}
Anomaly Detected : {'id': 45, 'data': [[-2.428]], 'current_time': '2023-11-16T07:29:03.873121', 'score': [-0.799]}
Anomaly Detected : {'id': 47, 'data': [[-0.654]], 'current_time': '2023-11-16T07:29:04.395209', 'score': [-0.799]}
Anomaly Detected : {'id': 49, 'data': [[-2.211]], 'current_time': '2023-11-16T07:29:04.981163', 'score': [-0.799]}
Anomaly Detected : {'id': 50, 'data': [[-1.642]], 'current_time': '2023-11-16T07:29:05.288102', 'score': [-0.799]}
Anomaly Detected : {'id': 52, 'data': [[-0.252]], 'current_time': '2023-11-16T07:29:05.919613', 'score': [-0.799]}
Anomaly Detected : {'id': 53, 'data': [[-3.411]], 'current_time': '2023-11-16T07:29:06.274361', 'score': [-0.799]}
Anomaly Detected : {'id': 54, 'data': [[-1.79]], 'current_time': '2023-11-16T07:29:06.632647', 'score': [-0.799]}
Anomaly Detected : {'id': 55, 'data': [[-1.754]], 'current_time': '2023-11-16T07:29:07.091279', 'score': [-0.799]}
Anomaly Detected : {'id': 56, 'data': [[-2.196]], 'current_time': '2023-11-16T07:29:07.441063', 'score': [-0.799]}
Anomaly Detected : {'id': 57, 'data': [[-1.883]], 'current_time': '2023-11-16T07:29:07.819990', 'score': [-0.799]}
