Anomaly Detected : {'id': 1, 'data': [[-2.342]], 'current_time': '2023-11-16T07:12:16.750286', 'score': [-0.799]}
Anomaly Detected : {'id': 3, 'data': [[3.943]], 'current_time': '2023-11-16T07:12:17.730511', 'score': [-0.782]}
Anomaly Detected : {'id': 4, 'data': [[-1.949]], 'current_time': '2023-11-16T07:12:17.849701', 'score': [-0.799]}
Anomaly Detected : {'id': 5, 'data': [[-2.106]], 'current_time': '2023-11-16T07:12:17.982418', 'score': [-0.799]}
Anomaly Detected : {'id': 8, 'data': [[-2.363]], 'current_time': '2023-11-16T07:12:18.348827', 'score': [-0.799]}
Anomaly Detected : {'id': 10, 'data': [[0.961]], 'current_time': '2023-11-16T07:12:18.618273', 'score': [-0.799]}
Anomaly Detected : {'id': 11, 'data': [[-1.755]], 'current_time': '2023-11-16T07:12:18.752460', 'score': [-0.799]}
Anomaly Detected : {'id': 13, 'data': [[-2.365]], 'current_time': '2023-11-16T07:12:19.029451', 'score': [-0.799]}
Anomaly Detected : {'id': 14, 'data': [[-2.362]], 'current_time': '2023-11-16T07:12:19.172252', 'score': [-0.799]}
Anomaly Detected : {'id': 16, 'data': [[-2.175]], 'current_time': '2023-11-16T07:12:19.470175', 'score': [-0.799]}
Anomaly Detected : {'id': 17, 'data': [[-2.312]], 'current_time': '2023-11-16T07:12:19.631649', 'score': [-0.799]}
Anomaly Detected : {'id': 18, 'data': [[-2.044]], 'current_time': '2023-11-16T07:12:19.792451', 'score': [-0.799]}
Anomaly Detected : {'id': 20, 'data': [[-1.944]], 'current_time': '2023-11-16T07:12:20.124756', 'score': [-0.799]}
Anomaly Detected : {'id': 21, 'data': [[-1.789]], 'current_time': '2023-11-16T07:12:20.308908', 'score': [-0.799]}
Anomaly Detected : {'id': 23, 'data': [[-2.133]], 'current_time': '2023-11-16T07:12:20.647778', 'score': [-0.799]}
Anomaly Detected : {'id': 26, 'data': [[-2.18]], 'current_time': '2023-11-16T07:12:21.200866', 'score': [-0.799]}
Anomaly Detected : {'id': 27, 'data': [[-0.503]], 'current_time': '2023-11-16T07:12:21.405994', 'score': [-0.799]}
Anomaly Detected : {'id': 28, 'data': [[-2.258]], 'current_time': '2023-11-16T07:12:21.668028', 'score': [-0.799]}
Anomaly Detected : {'id': 29, 'data': [[0.864]], 'current_time': '2023-11-16T07:12:21.861186', 'score': [-0.799]}
Anomaly Detected : {'id': 30, 'data': [[-1.625]], 'current_time': '2023-11-16T07:12:22.086819', 'score': [-0.799]}
Anomaly Detected : {'id': 32, 'data': [[-1.996]], 'current_time': '2023-11-16T07:12:22.762598', 'score': [-0.799]}
Anomaly Detected : {'id': 34, 'data': [[-3.003]], 'current_time': '2023-11-16T07:12:23.232245', 'score': [-0.799]}
Anomaly Detected : {'id': 35, 'data': [[-2.252]], 'current_time': '2023-11-16T07:12:23.502083', 'score': [-0.799]}
